"name","del","address"
"A S KUPPARAJU AND BROTHERS CHARITABLE FOUNDATION TRUST","3518, Bangalore (KARNATAKA)","ASKB Campus 1st Main A G S Colony Anandnagar Bangalore 560 024"
"Adarsh Educational and Charitable Trust","36/08-09, Shahapur (KARNATAKA)","Deshmukh Vidya Bhavan, Indiranagar, Shahapur"
"Adishakti Rural Development Society Markumbi","364/2000-2001, savadatti (KARNATAKA)","A/P: Markumbi Tq : Savadatti Dist : Belgaum"
"ACE CHARITABLE TRUST","365/10-11, Bangalore (KARNATAKA)","No29/10A, 14th B Cross,Sarakki Layout, 1st Phase, J P Nagar, Bangalore560078"
"AASARE SOCIAL SERVICE SOCIETY","369/SOR/SMG/96-97, SHIMOGGA (KARNATAKA)","LAXMI VENKATESH NILAY, HOSAMANE, 6TH CROSS, SHIVAMOGGA577204"
"AASRA WOMEN AND CHILDREN WELFARE TRUST","36-IV, BANGALORE (KARNATAKA)","NO 11,1ST FLOOR EIDGAH COMPLEX,BSA ROAD, TANNERY ROAD"
"aavi rural and urban development organisation","373/2008-09, Hosanagar (KARNATAKA)","Aavi rural and urban development organization (ARUDO) Kodur Post, 577 418 Hosanagar -Taluk Shimoga - Dist Karnataka -State Mobile :91 9731554955 E-mail : aavingo@gmail.com"
"ABHIYENTHARARU","378/2012-13, MYSORE (KARNATAKA)","221E BLOCK VIJAYANAGAR 3 RD STAGE"
"aafoundation for community development","395 2011 12 IV, bengaluru (KARNATAKA)","186 4 I a main 3rd a cross gururajalayout doddanekkundi bengaluru 560037"
"AASARE CHARITABLE TRUST","4/874, TUMKUR (KARNATAKA)","KHATA NO 3887/3689, AMARAJYOTHI NAGARA, MARALURU ROAD, RAMAKRISHNA AASHRAMA BACKSIDE"
"A G N FOUNDATION","400270, BANGALORE (KARNATAKA)","NO 1445 VAJRAS NO 6 SOUTH END A CROSS 28TH MAIN JAYANAGAR 9TH BLOCK"
"ADEPT Educational and Welfare Trust","4-00677-2018-19, Bangalore (KARNATAKA)","No.2/1, 1st cross, Masjid Street, BSA cross, Tannery Road, Bangalore-560005"
"ABHIRUDDHI SAMSTHE","417/2010-11, CHANNAGIRI (KARNATAKA)","ABHIRUDDHI SAMSTHE (R) HEAD OFFICE : TURUVANOOR ROAD, CHITRADURGA. BRANCH OFFICE : BUSSENAHALLI VILLAGE, AGARABANNEHATTI POST CHANNAGIRI TQ DAVANAGERE DIST KARNATAKA STATE"
"Asha Kirana Seva Trust","424/1995-96, Bangalore (KARNATAKA)","Asha Kirana Seva Trust (R) 57/A, 1st Floor, 3rd Cross,Classic County Layout, Komaghatta Main Road, Kengeri Satellite Town, Bengaluru – 560060"
"ADI JAMBAVA SAMSKRUTHIKA PRACHARA SAMITHI","429/2022, BANGALORE (KARNATAKA)","No 163, 3rd Floor 9th main road, 3rd cross, Rajamahal Extension, Sadashivnagar, Bangalore North, Sadashivanagar S.O, BANGALORE, Karnataka, INDIA560080"
"AAMIR KHAN FOUNDATION","4-291/24-25, BANGALORE (KARNATAKA)","NO.12 2ND MAIN ROAD MATTADAHALLI R T NAGAR POST BANGALORE 560032"
"ACT OF LOVE","435, Bangalore (KARNATAKA)","3/90 kadrappa building 2, crass colony sagaypuram"
"ADMAR MUTT EDUCATION FOUNDATION","44/93-94, BANGALORE (KARNATAKA)","ADMAR MUTT EDUCATION FOUNDATION (POORNAPRAJNA INSTITUTE OF SCIENTIFIC RESEARCH) NO. 4, 16TH CROSS, SADASHIVANAGAR,"
"Action for Community Organisation Rehabilitation and Development","440/85-86, Bangalore (KARNATAKA)","Thekaekara House,, 10th Main, 2nd Cross, Banaswadi, Kalyan Nagar, Bangalore560043"
"Aamna Foundation","456/ 2018, Bengaluru (KARNATAKA)","No. 79, Ground Floor, Shanthi Nilaya, Laksmaiah Block, CBI Main Road, Ganga Nagar, Bengaluru, Karnataka-560024"
"A Little Change","485, Koramangala (KARNATAKA)","No.31, 3rd Floor, A Main, Jakkasandra Extn, Koramangala, 1st blockBengaluru560034"
"ASHAKIRAN SAMAGRA GRAMINA ABHIVRUDHI SAMSTHE","513-2004-05, Gulbarga (KARNATAKA)","Near Shantlingeshwar Temple 4th Block Tq Dist Kalaburagi"
"ADARSHA VIDYA KENDRA TRUST","539/99-2000, Bengaluru (KARNATAKA)","No. 8/9, 27th Cross, BSK II Stage"
"A SOCIETY FOR HUMAN INTEGRAL RIGHTS WEEARE AND ASSISTANCE FOR DEVELOPMENT","54/92-93, KAMALNAGAR (KARNATAKA)","KAMALNAGAR TQ. AURAD (B) DIST. BIDAR"
"ADAL FOUNDATION","542/18-19, BANGLORE (KARNATAKA)","10/2, 3RD CROSS, B.M. KRISHNAPPA LAYOUT, SHAMPURA, R.T NAGAR POST, BANGLORE- 560032"
"ARYA VYSYA MAHAJAN SAMITHI (R)","55/82-83, Shimoga (KARNATAKA)","Sri Kannikaparameshwari Temple, Gandhi Bazara, Shimoga"
"ARUNODAYA TRUST(R)","561/2018-19, BANGALORE (KARNATAKA)","CA 4 2ND BLOCK JNANABHARATHI LAYOUT NAGADEVANAHALLI MARIYAPPANAPALYA RING ROAD"
"A.O.S.R. EDUCATIONAL AND CHARITABLE TRUST","569/2022-23, GULBARGA (KARNATAKA)","H.NO. 422, SY, NO. 32 HAGARGA ROAD, NEAR PRINCE FUNCTION HALL, GULSHAN E ARFAT COLONY KALABURAGI585104"
"ADITYA CHARITY TRUST","580T/W.D.vi OF 1973/74, BENGALURU (KARNATAKA)","NO 129 RMV EXTENSION 10TH MAIN SADASHIVNAGAR"
"ASHAKIRANA CHARITABLE TRUST","608-97-98, Mysore (KARNATAKA)","CA-1, Hebbal Industrial Housing Area,Ring Road, Hebbal"
"ABHINAVA ARTS CENTRE","632/95-96, Bengaluru (KARNATAKA)","62, JAIN TEMPLE STREET VISVESWARAPURAM"
"Abhivruddi Society for Social Development","668/92-93, Tumakuru (KARNATAKA)","ABHYUDHAYA 2nd Cross, near TUDA Layout, Manjunathanagara, Kyathasandra Post, Tumkur-572104"
"ADARSH MAHILA MATTU MAKKAL KALYAN GRAMIN ABHIVRUDHI SAMSTE","72/2001-2002, BIJAPUR (KARNATAKA)","J M ROAD NEARBADIKAMAN BEHIND KHANNAT MASJID BIJAPUR 586101"
"ADITYA ROYAL OWNERS ASSOCIATION","74/2017-18, Bangalore (KARNATAKA)","Mallathahalli"
"Aadiyogi Charitable Trust","76, DHARWARD (KARNATAKA)","LIG-308, GAMANAGAATTI, KHB, PRAJANAGAR NAVANAGAR,DHARWARD Karnataka"
"AASHA KE PANKH FOUNDATION TRUST","770, BENGALURU (KARNATAKA)","100504, NIKOO 1,BHARTIYA CITY, THANISANDRA, YEHLANKA, BENGALURU 560064"
"ACCEPT SOCIETY","776/1999/2000, Bangalore (KARNATAKA)","245, KRC Road, Dodda Gubbi Post, Bangalore560077"
"ARUL ERRUKKAM FOUNDATION","78/2008-2009, Bangalore (KARNATAKA)","9"
"ASHA KIRAN TRUST","799/93-99, Bangalore (KARNATAKA)","No 10-26 Esther Garden Jayanthinagar Horamavu"
"ACTS GROUP OF INSTITUTIONS","80/79-80, Bangalore (KARNATAKA)","54 KHB COLONY, 5TH BLOCK 2ND CROSS, KORAMANGALA"
"ADARSHA CULTURAL AND RURAL DEVELOPMENT SOCIETY","814/2012-13, CHICKABALLAPUR (KARNATAKA)","BAGEPALLI, CHICKABALLAPUR DIST KARNATAKA"
"ACE FOUNDATION","82/2017-18, Bengaluru (KARNATAKA)","Kengeri, Bengaluru560060"
"abohomaan","8222, TIRUPUR (KARNATAKA)","Abohomaan vill boulapassa po kailashahar unakoti tripura pin 799277"
"ACTIONAID KARNATAK PROJEC","849/88-89, BANGALORE (KARNATAKA)","ACTIONAID KARNATAKA PROJECTS 139, RICHMOND ROAD, BANGALORE560025 (KARNATAKA)"
"ASHA FOUNDATION","849/97-98, Bangalore (KARNATAKA)","No.42, 4th Main, SBM Colony, Anand Nagar, Bangalore"
"AALA HAZRAT EDUCATIONAL AND CHARITABLE TRUST","87/08-09, Bidar (KARNATAKA)","H. No- 3-3-35, Noor Khan Taleem, Dist.- Bidar- 585401,Karnataka."
"INAMDAR REGIONAL EDUCATIONAL & CHARITABLE TRUST","91/2005-26, KALABURAGI (KARNATAKA)","2-2/1 MADINA BUILDING 1 FLOOR ABOVE CENTRE KAMAT MAIN ROAD KALABURAGI 585101"
"ACHARYA RANGA PROGRESSIVE FARMERS WELFARE ORGANIZATION","936/1996, TUMKUR (KARNATAKA)","gundugallu post kodigenahalli hobli madhugiri taluk"
"ADARSHA MAHILA MANDALI","94/1991-1992, HARAPANAHALLI (KARNATAKA)","ADARSHA MAHILA MANDALI(R)DRAVIDA NILAYA HADAGALI ROAD HARAPANAHALLI 583131 BELLARY DIST"
"Arunodaya Kala Sangha (R)","948/95-96, Bangalore (KARNATAKA)","Arunodaya Kala Sangha, No. 29, 3rd Main Road, Raghavendra Block, BSK 3rd Stage"
"Academy of Basic Education Bajpe","9596, Mangalore (KARNATAKA)","A.B.EBuilding Main Road Bajpe- 575142"
"AARTHI VIKAS MAHILA SAMITHI","96/2005-06, BIDAR (KARNATAKA)","PLOT NO 24, SACHIN NILAYA , BEHIND KARNATAKA COLLEGE ,CHANNABASAVA NAGAR , BIDAR KARNATAKA -585401"
"ACRESAT","97/84-85, CHANNAPATNA (KARNATAKA)","NO.202, THITTAMARANAHALLI, CHANNAPATNA TALUK, RAMANAGARA DISTRICT"
"ADHITI CHARITABLE TRUST R","99/2021-22, Hassan (KARNATAKA)","KANNIKA AVENUE, 3rd floor, opposite NEW BUS STAND, NEAR RR GOLD PALACE ARKALGUD HASSAN DISTRICT KARNATAKA573102"
"ADONAI MINISTRIES","AAAAA3721FE20215, Bangalore (KARNATAKA)","14, Heerchand road Bangalore North Fraser Town S.O BANGALORE Karnataka 560005"
"ADITI ALUMNI ASSOCIATION","AACTA7526KE20214, YELAHANKA NEW TOWN (KARNATAKA)","Mallya Aditi International School, CA Site No 16 , YELAHANKA NEW TOWN"
"ASEDUCATIONAL TRUST R","AACTA8984B, BANGALORE (KARNATAKA)","NEW LEARNING LADDERS INTERNATIONAL SCHOOL NO332/2, 2ND A MAIN ROAD OPP BCHANNASANDRA RAILWAY STATION, B CHANNASANDRA"
"ARSHA DHARMA SEVA TRUST","AADTA3344CE20212, BANGALORE (KARNATAKA)","NO 08 5TH CROSS ROAD PUTTAIAH COMPOUND ASHWATHNAGAR MAIN ROAD ASHWATHNAGAR BANGALORE"
"ART MANTRAM TRUST","AADTA3485GE20218, BANGLAORE (KARNATAKA)","80 INFANTRY ROAD BANGALORE NORTH BANGALORE"
"ABHAYA SEVA EDUCATIONAL TRUST","AAHTA8812F, bangalore (KARNATAKA)","No 12 1 1 Srinivasa Pura Kogilu Grama, Bangalore North Bangalore-560064"
"ADE CHARITABLE TRUST","AAJTA3287EF20221, Banglore (KARNATAKA)","Sy No 87 Byandahalli Village Kadabagerep o"
"ARYA VYSYA MANDALI TRUST","AAJTA8888K, MULBAGAL (KARNATAKA)","KANNIKA PARAMESHWARI TEMPLE BIG BAZAR STREET MULBAGAL"
"ADONAI TAMIL CHURCH","AAKTA1351NE20231, Bangalore (KARNATAKA)","Flat 001, Green View Apartments, No. 1/1, Ramakrishnappa Road, Cox Town, Bangalore"
"ACHINTYAAH RENOVATION FOUNDATION","AAKTA4654LE20231, Bangalore (KARNATAKA)","2287,14th Main Road HAL 2nd Stage, Indiranagar S.O,"
"ABRAR EDUCATION & CHARITABLE TRUST","aakta5768m, gulbarga (KARNATAKA)","plot no 49 50 opprainbow school behind manur hospital ring road gulbarga"
"ADIDRAVIDACHARITABLEANDWELFARETRUST","ARS-4-00068-2023-24, ARSIKERE (KARNATAKA)","DR AMBEDKAR NAGARA HASSAN ROAD ARSIKERE"
"ARUNODAYA CHARITABLE TRUST","AUD-400054-2016-17, AURAD B (KARNATAKA)","AT, AURAD (B) TQ. AURAD (B) DIST. BIDAR"
"AAYAAMA","BAN(U)-KNGR/426/2014-2015, Banglore (KARNATAKA)","D.no. 982, 21st main road, 2nd block, mariyappanapalya, jnanabharathi layout, Nagadevanahalli, karnataka, bangalore-560056"
"A & A EDUCATIONAL TRUST","BDII-4-00143-2023-24, Virgonagar (KARNATAKA)","Flat No. 302, 3rd Floor, Apartment MSR Enclave No. 168, Godhavari Ganga 1st Cross, Sai Seriniti Layout, Seegehalli, Virgonagar"
"AADARANA CHARITABLE TRUST","BDR-4-00118-2019-20, BIDAR (KARNATAKA)","AT. HO. NO. 14-10-104,1, JHARNA ROAD EDEN COLONY MANGALPET BIDAR"
"ASHAKIRAN INTEGRATED EDUCATION & RURAL DEVELOPMENT SOCIETY","BDR-S69-2014-15, BIDAR (KARNATAKA)","AT: PLOT NO. 1, OPP: LAHOTI MOTORS, BESIDE SBI BANK MADHAV NAGAR BIDAR"
"AADHAR EDUCATION SOCIETY","BEL-S417-2006-07, Belgaum (KARNATAKA)","Court Road Maratha Mandals Compound, Chavat Galli , Belgaum Taluk and district"
"Abhiyan Foundation","BEL-S527-2007-08, Hukkeri (KARNATAKA)","Near Laxmi Temle ,Badiger oni Hukkeri,Karnataka-591309"
"ADARSH FOUNDATION","BEL-S-866/06-07, RAMDURG (KARNATAKA)","DR. A. P. J.ABDUL KALAM BHAVAN , PLOT NO:- 30/07 , SR NO 247/B NEARNEW BUSTAND GANDHINAGAR ROADRAMDURG-591123 DIST:-BELGAUM STATE:- KARNATAKA,INDIA"
"Adarsh Garment Cluster Development Association","BEL-S932-2012-13, Belgaum (KARNATAKA)","DR. A. P. J. ABDUL KALAM BHAVAN , 247/B, PLOT NO 3007, NEW BUSTAND ROAD, GANDHINAGAR, RAMDURG, BELAGAVI, KARNATAKA"
"ADARSH VIDYAVARDHAK SANGH","BGK-S491-2014-15, BEWOOR (KARNATAKA)","ADARSHA VIDYA VARDHAK SANGHA DESTITUTE COTTAGE NEAR BUS STOPBEWOOR TQ:DUST: BAGALKOT"
"ACTIVE EDU FOUNDATION","BGR-4-00067-2020-21, BANGALORE (KARNATAKA)","Third floor, S4 Square1st Cross Road ,Neeladri nagarElectronic City Phase 1Bangalore-560100"
"ABHAYAS EDUCATIONAL TRUST","BK 14 129/2016-2017, Bangalore (KARNATAKA)","12, 6th Cross Gururaja Layout Near Shiva Temple Doddanekundi Bangalore, KARNATAKA560037"
"A R TRUST","BK IV 116/20-21, CHANNAPTNA (KARNATAKA)","NO 1029/867, AAMIRAH MANZIL, UPPER DAIRA, MADINA ROAD, CHANNAPATNA CITY, RAMNAGARA-562160"
"AAYAN EDUCATIONAL AND WELFARE TRUST","BK IV 168 16-17, BANGALORE (KARNATAKA)","NO 46, 14th CROSS , KANAKA NAGAR , RT NAGAR BANGALORE 560032"
"AROUSH EDUCATIONAL TRUST","BK IV 173/23-24, BANGALORE (KARNATAKA)","NO. 49, 4TH FLOOR, 4TH CROSS, MUNIVEERAPPA LAYOUT, SHAMPUR RAILWAY GATE, BANGALORE, KARNATAKA"
"AARUNYA FOUNDATION","BK IV 177/ 2018-19, BANGALORE (KARNATAKA)","G2, RENAISSANVCE APARTMENTS.NO. 11, MILTON STREET, COOKE TOWN BANGALORE560005"
